iter	Passed	Remaining
903	8214	872
904	8223	863
905	8232	854
906	8241	845
907	8249	835
908	8257	826
909	8265	817
910	8274	808
911	8281	799
912	8289	789
913	8297	780
914	8305	771
915	8316	762
916	8324	753
917	8333	744
918	8341	735
919	8350	726
920	8359	717
921	8367	707
922	8374	698
923	8383	689
924	8392	680
925	8400	671
926	8408	662
927	8416	653
928	8425	643
929	8432	634
930	8439	625
931	8447	616
932	8455	607
933	8464	598
934	8472	589
935	8480	579
936	8489	570
937	8497	561
938	8506	552
939	8514	543
940	8521	534
941	8530	525
942	8538	516
943	8556	507
944	8572	498
945	8597	490
946	8616	482
947	8633	473
948	8641	464
949	8650	455
950	8656	446
951	8663	436
952	8672	427
953	8680	418
954	8689	409
955	8700	400
956	8717	391
957	8746	383
958	8769	374
959	8784	366
960	8792	356
961	8803	347
962	8812	338
963	8821	329
964	8829	320
965	8836	311
966	8845	301
967	8852	292
968	8861	283
969	8868	274
970	8876	265
971	8884	255
972	8892	246
973	8899	237
974	8905	228
975	8914	219
976	8922	210
977	8930	200
978	8939	191
979	8947	182
980	8956	173
981	8964	164
982	8972	155
983	8980	146
984	8988	136
985	8996	127
986	9004	118
987	9013	109
988	9022	100
989	9029	91
990	9038	82
991	9046	72
992	9053	63
993	9061	54
994	9069	45
995	9077	36
996	9085	27
997	9094	18
998	9101	9
999	9109	0
